infinitive,is_reflexive,verb_ending,stem,mood,tense,person,conjugation
abandonar,False,ar,abandon,indicativo,presente,1s,abandono
abandonar,False,ar,abandon,indicativo,presente,2s,abandonas
abandonar,False,ar,abandon,indicativo,presente,3s,abandona
abandonar,False,ar,abandon,indicativo,presente,1p,abandonamos
abandonar,False,ar,abandon,indicativo,presente,2p,abandonáis
abandonar,False,ar,abandon,indicativo,presente,3p,abandonan
abandonar,False,ar,abandon,indicativo,futuro,1s,abandonaré
abandonar,False,ar,abandon,indicativo,futuro,2s,abandonarás
abandonar,False,ar,abandon,indicativo,futuro,3s,abandonará
abandonar,False,ar,abandon,indicativo,futuro,1p,abandonaremos
abandonar,False,ar,abandon,indicativo,futuro,2p,abandonaréis
abandonar,False,ar,abandon,indicativo,futuro,3p,abandonarán
abandonar,False,ar,abandon,indicativo,imperfecto,1s,abandonaba
abandonar,False,ar,abandon,indicativo,imperfecto,2s,abandonabas
abandonar,False,ar,abandon,indicativo,imperfecto,3s,abandonaba
abandonar,False,ar,abandon,indicativo,imperfecto,1p,abandonábamos
abandonar,False,ar,abandon,indicativo,imperfecto,2p,abandonabais
abandonar,False,ar,abandon,indicativo,imperfecto,3p,abandonaban
abandonar,False,ar,abandon,indicativo,pretérito,1s,abandoné
abandonar,False,ar,abandon,indicativo,pretérito,2s,abandonaste
abandonar,False,ar,abandon,indicativo,pretérito,3s,abandonó
abandonar,False,ar,abandon,indicativo,pretérito,1p,abandonamos
abandonar,False,ar,abandon,indicativo,pretérito,2p,abandonasteis
abandonar,False,ar,abandon,indicativo,pretérito,3p,abandonaron
abandonar,False,ar,abandon,indicativo,condicional,1s,abandonaría
abandonar,False,ar,abandon,indicativo,condicional,2s,abandonarías
abandonar,False,ar,abandon,indicativo,condicional,3s,abandonaría
abandonar,False,ar,abandon,indicativo,condicional,1p,abandonaríamos
abandonar,False,ar,abandon,indicativo,condicional,2p,abandonaríais
abandonar,False,ar,abandon,indicativo,condicional,3p,abandonarían
abandonar,False,ar,abandon,indicativo,presente perfecto,1s,he abandonado
abandonar,False,ar,abandon,indicativo,presente perfecto,2s,has abandonado
abandonar,False,ar,abandon,indicativo,presente perfecto,3s,ha abandonado
abandonar,False,ar,abandon,indicativo,presente perfecto,1p,hemos abandonado
abandonar,False,ar,abandon,indicativo,presente perfecto,2p,habéis abandonado
abandonar,False,ar,abandon,indicativo,presente perfecto,3p,han abandonado
abandonar,False,ar,abandon,indicativo,futuro perfecto,1s,habré abandonado
abandonar,False,ar,abandon,indicativo,futuro perfecto,2s,habrás abandonado
abandonar,False,ar,abandon,indicativo,futuro perfecto,3s,habrá abandonado
abandonar,False,ar,abandon,indicativo,futuro perfecto,1p,habremos abandonado
abandonar,False,ar,abandon,indicativo,futuro perfecto,2p,habréis abandonado
abandonar,False,ar,abandon,indicativo,futuro perfecto,3p,habrán abandonado
abandonar,False,ar,abandon,indicativo,pluscuamperfecto,1s,había abandonado
abandonar,False,ar,abandon,indicativo,pluscuamperfecto,2s,habías abandonado
abandonar,False,ar,abandon,indicativo,pluscuamperfecto,3s,había abandonado
abandonar,False,ar,abandon,indicativo,pluscuamperfecto,1p,habíamos abandonado
abandonar,False,ar,abandon,indicativo,pluscuamperfecto,2p,habíais abandonado
abandonar,False,ar,abandon,indicativo,pluscuamperfecto,3p,habían abandonado
abandonar,False,ar,abandon,indicativo,condicional perfecto,1s,habría abandonado
abandonar,False,ar,abandon,indicativo,condicional perfecto,2s,habrías abandonado
abandonar,False,ar,abandon,indicativo,condicional perfecto,3s,habría abandonado
abandonar,False,ar,abandon,indicativo,condicional perfecto,1p,habríamos abandonado
abandonar,False,ar,abandon,indicativo,condicional perfecto,2p,habríais abandonado
abandonar,False,ar,abandon,indicativo,condicional perfecto,3p,habrían abandonado
abandonar,False,ar,abandon,subjuntivo,presente,1s,abandone
abandonar,False,ar,abandon,subjuntivo,presente,2s,abandones
abandonar,False,ar,abandon,subjuntivo,presente,3s,abandone
abandonar,False,ar,abandon,subjuntivo,presente,1p,abandonemos
abandonar,False,ar,abandon,subjuntivo,presente,2p,abandonéis
abandonar,False,ar,abandon,subjuntivo,presente,3p,abandonen
abandonar,False,ar,abandon,subjuntivo,imperfecto,1s,abandonara
abandonar,False,ar,abandon,subjuntivo,imperfecto,2s,abandonaras
abandonar,False,ar,abandon,subjuntivo,imperfecto,3s,abandonara
abandonar,False,ar,abandon,subjuntivo,imperfecto,1p,abandonáramos
abandonar,False,ar,abandon,subjuntivo,imperfecto,2p,abandonarais
abandonar,False,ar,abandon,subjuntivo,imperfecto,3p,abandonaran
abandonar,False,ar,abandon,subjuntivo,futuro,1s,abandonare
abandonar,False,ar,abandon,subjuntivo,futuro,2s,abandonares
abandonar,False,ar,abandon,subjuntivo,futuro,3s,abandonare
abandonar,False,ar,abandon,subjuntivo,futuro,1p,abandonáremos
abandonar,False,ar,abandon,subjuntivo,futuro,2p,abandonareis
abandonar,False,ar,abandon,subjuntivo,futuro,3p,abandonaren
